movie,year,genre,color,language,country,rating,duration,budget
The Other Dream Team,2012,Documentary,Color,English,USA,Not Rated,89,"$500,000.00 "
Into the Wild,2007,Adventure,Color,English,USA,R,148,"$15,000,000.00 "
JFK,1991,Drama,Black and White,English,France,R,206,"$40,000,000.00 "
Dances with Wolves,1990,Adventure,Color,English,USA,PG-13,236,"$22,000,000.00 "
Sicko,2007,Documentary,Color,English,USA,PG-13,123,"$9,000,000.00 "
Control,2007,Biography,Black and White,English,UK,R,122,"$4,500,000.00 "
The Last King of Scotland,2006,Biography,Color,English,UK,R,121,"$6,000,000.00 "
Headhunters,2011,Crime,Color,Norwegian,Norway,R,100,"$30,300,000.00 "
March of the Penguins,2005,Documentary,Color,French,France,G,80,"$8,000,000.00 "
Mud,2012,Drama,Color,English,USA,PG-13,130,"$10,000,000.00 "
Big,1988,Comedy,Color,English,USA,PG,130,"$18,000,000.00 "
Insomnia,2002,Drama,Color,English,USA,R,118,"$46,000,000.00 "
Speed,1994,Action,Color,English,USA,R,116,"$25,000,000.00 "
Half Nelson,2006,Drama,Color,English,USA,R,106,"$700,000.00 "
The Hunchback of Notre Dame,1996,Animation,Color,English,USA,G,91,"$100,000,000.00 "
Wreck-It Ralph,2012,Adventure,Color,English,USA,PG,101,"$165,000,000.00 "
Ordinary People,1980,Drama,Color,English,USA,R,124,"$6,000,000.00 "
The Hours,2002,Drama,Color,English,USA,PG-13,114,"$25,000,000.00 "
Superbad,2007,Comedy,Color,English,USA,R,119,"$20,000,000.00 "
Far from Heaven,2002,Drama,Color,English,USA,PG-13,107,"$13,500,000.00 "
Witness,1985,Crime,Color,English,USA,R,112,"$12,000,000.00 "
Cinderella,2015,Drama,Color,English,USA,PG,105,"$95,000,000.00 "
Out of Sight,1998,Crime,Color,English,USA,R,123,"$48,000,000.00 "
Cinderella,2015,Drama,Color,English,USA,PG,105,"$95,000,000.00 "
Walk the Line,2005,Biography,Color,English,USA,PG-13,153,"$28,000,000.00 "
Zodiac,2007,Crime,Color,English,USA,R,162,"$65,000,000.00 "
Who Killed the Electric Car?,2006,Documentary,Color,English,USA,PG,92,"$1,000,000.00 "
The Crow,1994,Action,Color,English,USA,R,98,"$23,000,000.00 "
Hugo,2011,Adventure,Color,English,USA,PG,126,"$170,000,000.00 "
The Bridges of Madison County,1995,Drama,Color,English,USA,PG-13,135,"$35,000,000.00 "
Paddington,2014,Animation,Color,English,UK,PG,95,"$55,000,000.00 "
Brothers,2009,Drama,Color,English,USA,R,105,"$26,000,000.00 "
Brothers,2009,Drama,Color,English,USA,R,105,"$26,000,000.00 "
Gladiator,2000,Action,Color,English,USA,R,171,"$103,000,000.00 "
In Bruges,2008,Comedy,Color,English,UK,R,107,"$15,000,000.00 "
Doctor Zhivago,1965,Drama,Color,English,USA,PG-13,200,"$11,000,000.00 "
Atonement,2007,Drama,Color,English,UK,R,123,"$30,000,000.00 "
Road to Perdition,2002,Crime,Color,English,USA,R,117,"$80,000,000.00 "
